feature,importance
price_volume_ratio,4.597093
price_unit,1.9860548
delivery_sales_ratio,1.7703979
price_stock_ratio,1.4865055
delivery_days,0.8067858
delivery_stock_ratio,0.47188044
monthly_sales_trend,0.41195714
stock_available,0.38523623
quarter,0.12988582
month,0.1259828
week_of_year,0.11767246
weekend_sales_boost,0.062603176
sin_month,0.03708623
day_of_week,0.02986548
cos_month,0.023690844
lag_1_sales,0.012856053
lag_7_sales,0.011260622
sku,0.010337875
days_to_holiday,0.010166917
delivered_qty,0.0096922405
lag_14_sales,0.0086925905
lag_30_sales,0.0077415374
lag_14_stock,0.0057411226
lag_1_price,0.005458398
lag_30_price,0.005429156
lag_1_stock,0.0053851292
lag_30_stock,0.0050787865
lag_7_price,0.00504693
lag_14_price,0.004971906
lag_7_stock,0.0048920377
day_of_month,0.0048597474
days_after_holiday,0.00453838
segment,0.003974457
is_weekend,0.0029006419
cos_day_of_week,0.002465837
region,0.0022456166
sin_day_of_week,0.0021450897
brand,0.0021043022
lag_30_delivery,0.002097063
year,0.0020172102
lag_7_delivery,0.0019881823
lag_1_delivery,0.0019735056
lag_14_delivery,0.001915038
pack_type,0.0018776106
brand_encoded,0.0016516844
segment_encoded,0.0015431384
channel,0.0013636828
channel_encoded,0.00082849694
pack_type_encoded,0.00047446915
region_encoded,0.00042969373
is_quarter_end,0.00041681758
is_holiday,0.00015496704
is_quarter_start,0.00013537533
is_month_end,0.000117689655
is_month_start,6.9823705e-05
category,1.589331e-06
promotion_flag,0.0
promotion_price_effect,0.0
promotion_effect,0.0
category_encoded,0.0
